actualStartTime,description,tournamentLevel,matchNumber,scoreRedFinal,scoreRedFoul,scoreRedAuto,scoreBlueFinal,scoreBlueFoul,scoreBlueAuto,postResultTime,teams
2017-03-31T10:40:09.77,Qualification 13,Qualification,13,160,0,70,260,0,79,2017-03-31T10:42:58.0633333,"[{'teamNumber': 5811, 'station': 'Red1', 'dq': False}, {'teamNumber': 4292, 'station': 'Red2', 'dq': False}, {'teamNumber': 3138, 'station': 'Red3', 'dq': False}, {'teamNumber': 4787, 'station': 'Blue1', 'dq': False}, {'teamNumber': 1592, 'station': 'Blue2', 'dq': False}, {'teamNumber': 1736, 'station': 'Blue3', 'dq': False}]"
2017-03-31T10:47:34.1533333,Qualification 14,Qualification,14,90,0,10,134,0,11,2017-03-31T10:50:15.4066667,"[{'teamNumber': 6651, 'station': 'Red1', 'dq': False}, {'teamNumber': 1756, 'station': 'Red2', 'dq': False}, {'teamNumber': 5125, 'station': 'Red3', 'dq': False}, {'teamNumber': 1625, 'station': 'Blue1', 'dq': False}, {'teamNumber': 2451, 'station': 'Blue2', 'dq': False}, {'teamNumber': 1723, 'station': 'Blue3', 'dq': False}]"
2017-03-31T10:54:29.7566667,Qualification 15,Qualification,15,310,0,80,180,0,10,2017-03-31T10:57:52.0766667,"[{'teamNumber': 4645, 'station': 'Red1', 'dq': False}, {'teamNumber': 4213, 'station': 'Red2', 'dq': False}, {'teamNumber': 16, 'station': 'Red3', 'dq': False}, {'teamNumber': 5350, 'station': 'Blue1', 'dq': False}, {'teamNumber': 4096, 'station': 'Blue2', 'dq': False}, {'teamNumber': 3110, 'station': 'Blue3', 'dq': False}]"
2017-03-31T11:01:27.6066667,Qualification 16,Qualification,16,409,150,79,201,0,70,2017-03-31T11:04:11.0166667,"[{'teamNumber': 4284, 'station': 'Red1', 'dq': False}, {'teamNumber': 3620, 'station': 'Red2', 'dq': False}, {'teamNumber': 1781, 'station': 'Red3', 'dq': False}, {'teamNumber': 383, 'station': 'Blue1', 'dq': False}, {'teamNumber': 3061, 'station': 'Blue2', 'dq': False}, {'teamNumber': 3067, 'station': 'Blue3', 'dq': False}]"
2017-03-31T11:10:26.0433333,Qualification 17,Qualification,17,160,0,70,205,0,75,2017-03-31T11:13:10.0233333,"[{'teamNumber': 2136, 'station': 'Red1', 'dq': False}, {'teamNumber': 1939, 'station': 'Red2', 'dq': False}, {'teamNumber': 4524, 'station': 'Red3', 'dq': False}, {'teamNumber': 3488, 'station': 'Blue1', 'dq': False}, {'teamNumber': 5847, 'station': 'Blue2', 'dq': False}, {'teamNumber': 111, 'station': 'Blue3', 'dq': False}]"
2017-03-31T11:18:21.0533333,Qualification 18,Qualification,18,100,5,15,195,5,10,2017-03-31T11:21:34.24,"[{'teamNumber': 2526, 'station': 'Red1', 'dq': False}, {'teamNumber': 2709, 'station': 'Red2', 'dq': False}, {'teamNumber': 3138, 'station': 'Red3', 'dq': False}, {'teamNumber': 4241, 'station': 'Blue1', 'dq': False}, {'teamNumber': 3352, 'station': 'Blue2', 'dq': False}, {'teamNumber': 5125, 'station': 'Blue3', 'dq': False}]"
2017-03-31T17:38:57.58,Qualification 19,Qualification,19,287,25,77,195,0,15,2017-03-31T17:41:45.4533333,"[{'teamNumber': 4292, 'station': 'Red1', 'dq': False}, {'teamNumber': 1625, 'station': 'Red2', 'dq': False}, {'teamNumber': 1736, 'station': 'Red3', 'dq': False}, {'teamNumber': 2039, 'station': 'Blue1', 'dq': False}, {'teamNumber': 1288, 'station': 'Blue2', 'dq': False}, {'teamNumber': 3734, 'station': 'Blue3', 'dq': False}]"
2017-03-31T11:44:44.47,Qualification 20,Qualification,20,305,0,118,301,0,71,2017-03-31T11:47:26.3866667,"[{'teamNumber': 2338, 'station': 'Red1', 'dq': False}, {'teamNumber': 4787, 'station': 'Red2', 'dq': False}, {'teamNumber': 1986, 'station': 'Red3', 'dq': False}, {'teamNumber': 16, 'station': 'Blue1', 'dq': False}, {'teamNumber': 1739, 'station': 'Blue2', 'dq': False}, {'teamNumber': 144, 'station': 'Blue3', 'dq': False}]"
2017-03-31T11:53:49.19,Qualification 21,Qualification,21,180,0,10,212,0,82,2017-03-31T11:56:33.34,"[{'teamNumber': 2136, 'station': 'Red1', 'dq': False}, {'teamNumber': 6651, 'station': 'Red2', 'dq': False}, {'teamNumber': 5822, 'station': 'Red3', 'dq': False}, {'teamNumber': 5811, 'station': 'Blue1', 'dq': False}, {'teamNumber': 3110, 'station': 'Blue2', 'dq': False}, {'teamNumber': 3620, 'station': 'Blue3', 'dq': False}]"
2017-03-31T12:01:53.3366667,Qualification 22,Qualification,22,177,5,31,195,0,15,2017-03-31T12:04:41.0266667,"[{'teamNumber': 2151, 'station': 'Red1', 'dq': False}, {'teamNumber': 2451, 'station': 'Red2', 'dq': False}, {'teamNumber': 3067, 'station': 'Red3', 'dq': False}, {'teamNumber': 4241, 'station': 'Blue1', 'dq': False}, {'teamNumber': 4524, 'station': 'Blue2', 'dq': False}, {'teamNumber': 2709, 'station': 'Blue3', 'dq': False}]"
2017-03-31T12:08:32.9633333,Qualification 23,Qualification,23,253,0,73,308,0,78,2017-03-31T12:11:15.2333333,"[{'teamNumber': 383, 'station': 'Red1', 'dq': False}, {'teamNumber': 2725, 'station': 'Red2', 'dq': False}, {'teamNumber': 1781, 'station': 'Red3', 'dq': False}, {'teamNumber': 4645, 'station': 'Blue1', 'dq': False}, {'teamNumber': 5847, 'station': 'Blue2', 'dq': False}, {'teamNumber': 4655, 'station': 'Blue3', 'dq': False}]"
2017-03-31T12:16:23.7333333,Qualification 24,Qualification,24,270,0,80,305,0,75,2017-03-31T12:19:16.5433333,"[{'teamNumber': 1756, 'station': 'Red1', 'dq': False}, {'teamNumber': 4213, 'station': 'Red2', 'dq': False}, {'teamNumber': 5934, 'station': 'Red3', 'dq': False}, {'teamNumber': 111, 'station': 'Blue1', 'dq': False}, {'teamNumber': 2526, 'station': 'Blue2', 'dq': False}, {'teamNumber': 3061, 'station': 'Blue3', 'dq': False}]"
